durmin,dur5,duravg,dur95,durmax,dursum,durdev,weimin,wei5,weiavg,wei95,weimax,weisum,weidev,depmin,dep5,depavg,dep95,depmax,depsum,depdev,accmin,acc5,accavg,acc95,accmax,accsum,accdev,resmin,res5,resavg,res95,resmax,ressum,resdev,loadrmin,loadr5,loadravg,loadr95,loadrmax,loadrsum,loadrdev,weiSumPF,weiSumLF,weiSumSF,weiSumOI,weiSumRatioPF,weiSumRatioLF,weiSumRatioSF,weiSumRatioOI,transSumPF,transSumLF,transSumSF,transSumOI,illegal
9,10,15.7763,26,63,2398,6.569664504,1.01,3.4,8.409342,12.02,14.67,1278.22,2.513243519,0,0,0.0675,1.05,1.24,10.26,0.270029847,1,1,1.225,2,2,14,0.418,0,0,4.07,12,121,289,14.529,0.042,0.142,0.3504145,0.501,0.611,53.263,0.104761788,1255.99,22.23,0,0,0.983,0.017,0,0,142,10,0,0,FALSE
5,7,12.0773,22,48,8442,5.01811145,1.23,2.99,7.703891,9.08,10.16,5385.02,1.639464136,0,0,0.087139,1.03,1.32,60.91,0.290642024,1,1,1.538,3,4,26,0.7,0,0,0.65,3,11,145,1.412,0.051,0.125,0.3210401,0.378,0.423,224.407,0.06832405,5182.87,123.89,78.26,0,0.962,0.023,0.015,0,638,49,12,0,FALSE
5,7,12.7944,24,50,10082,5.356183323,0.63,4.4,7.586447,8.76,9.92,5978.12,1.443414703,0,0,0.090787,0.93,1.36,71.54,0.278562554,1,1,1.5,3,4,24,0.656,0,0,0.825,5,10,165,1.547,0.026,0.183,0.3161409,0.365,0.413,249.119,0.060153498,5617.73,108.3,252.09,0,0.94,0.018,0.042,0,707,41,40,0,FALSE
4,6,13.087,25,40,6622,6.382128877,0.48,1.89,6.761245,9.2,10,3421.19,2.287132729,0,0,0.241522,1.08,1.63,122.21,0.400864008,1,1,1.691,3,4,42,0.784,0,0,0.789,3,13,161,1.54,0.02,0.079,0.2817708,0.383,0.417,142.576,0.095288406,2814.78,313.24,293.17,0,0.823,0.092,0.086,0,354,110,42,0,FALSE
4,6,12.5175,24,39,5370,5.742151608,0.29,1.85,6.624942,9.14,9.98,2842.1,2.349343668,0,0,0.251259,1.12,1.4,107.79,0.419064115,1,1,1.482,3,4,38,0.688,0,0,0.848,4,13,167,1.67,0.012,0.077,0.2760862,0.381,0.416,118.441,0.097867874,2410.16,290.75,141.19,0,0.848,0.102,0.05,0,304,103,22,0,FALSE
4,6,12.861,26,39,4257,6.087877919,0.17,1.85,7.006465,8.89,9.8,2319.14,2.170455258,0,0,0.162447,1.05,1.55,53.77,0.345150774,1,1,1.444,3,4,36,0.677,0,0,1.411,6,34,213,4.033,0.007,0.077,0.2919668,0.37,0.408,96.641,0.090461833,2080.75,138.95,99.44,0,0.897,0.06,0.043,0,262,54,15,0,FALSE
3,8,12.9797,24,47,3829,5.87551021,0.36,1.13,6.895085,9.17,9.76,2034.05,2.377161513,0,0,0.186814,1.09,1.51,55.11,0.387376245,1,1,1.354,2,3,26,0.552,0,0,1.329,6,15,210,2.414,0.015,0.047,0.2873525,0.382,0.407,84.769,0.099079344,1839.74,101.13,93.18,0,0.904,0.05,0.046,0,233,48,14,0,FALSE
4,6,10.3176,22,62,3054,7.379241485,1.49,14.51,15.897196,17.35,17.69,4705.57,1.432676776,0,0,0.007905,0,1.34,2.34,0.096861237,1,1,1.255,2,3,28,0.46,0,0,1.479,5,30,139,3.614,0.05,0.484,0.5299189,0.578,0.59,156.856,0.047720047,4672.6,1.49,31.48,0,0.993,0,0.007,0,293,1,2,0,TRUE
4,6,11.1733,26,165,11285,8.897806951,4.99,13.5,15.099683,16.99,17.75,15250.68,1.919314208,-0.01,0,0.014139,0,1.04,14.28,0.096274672,1,1,1.275,2,4,36,0.529,0,0,0.83,3,30,166,3.012,0.166,0.45,0.5033267,0.566,0.592,508.36,0.063985984,15081.65,152.19,16.84,0,0.989,0.01,0.001,0,980,28,2,0,TRUE
5,6,10.4102,20,69,5507,5.292928706,2.95,13.84,15.488393,17.03,17.76,8193.36,1.420418569,0,0,0.006125,0,0.9,3.24,0.066229191,1,1,1.275,2,4,27,0.558,0,0,1.231,5,22,197,2.627,0.098,0.461,0.5162741,0.568,0.592,273.109,0.047361124,8129.85,17.8,45.71,0,0.992,0.002,0.006,0,522,4,3,0,TRUE
